member,member_index,resolution,predictor,value
Loc(4),2,16,P2_mean,16.0
Loc(4),2,16,P3,0.49999999999999756
Loc(4),2,16,P4,1.0
Loc(4),2,16,P4_method,solved
Loc(4),2,16,P4-int,16.0
Loc(4),2,16,P5_outdeg,3.0
Loc(4),2,16,P5_persist,0.861111111111111
Loc(4),2,16,P6,145.49612304821773
Loc(4),2,16,P7(1),7543.555282392172
Loc(4),2,16,P7(2),3679.1742673035137
Loc(4),2,16,P7_method,mc
Loc(4),2,16,P7_distinct,20161.0
Loc(4),2,16,P7_samples,100000.0
Loc(4),2,16,P8,0.9999999999999962
Loc(4),2,16,P8_min,0.9999999999999962
Loc(8),3,1,P1(a=0),256.0
Loc(8),3,1,P1(a=1),255.99999999999994
Loc(8),3,1,P1(a=2),256.0
Loc(8),3,1,P2,256.0
Loc(8),3,1,P2_mean,256.0
Loc(8),3,1,P3,0.49999999999999956
Loc(8),3,1,P4,nan
Loc(8),3,1,P4_method,not-solved
Loc(8),3,1,P4-int,256.0
Loc(8),3,1,P5_outdeg,17.0
Loc(8),3,1,P5_persist,0.05882352941176471
Loc(8),3,1,P6,173.56570242709415
Loc(8),3,1,P7(1),6.602599152463639e+75
Loc(8),3,1,P7(2),3.1058026920741303e+71
Loc(8),3,1,P7_method,closed
Loc(8),3,1,P7_se,0.0
Loc(8),3,1,P8,1.0000000000000067
Loc(8),3,1,P8_min,1.000000000000006
Loc(8),3,2,P1(a=0),128.0
Loc(8),3,2,P1(a=1),127.99999999999997
Loc(8),3,2,P1(a=2),128.0
Loc(8),3,2,P2,128.0
Loc(8),3,2,P2_mean,128.0
Loc(8),3,2,P3,0.49999999999999956
Loc(8),3,2,P4,nan
Loc(8),3,2,P4_method,not-solved
Loc(8),3,2,P4-int,128.0
Loc(8),3,2,P5_outdeg,9.0
Loc(8),3,2,P5_persist,0.11764705882352944
Loc(8),3,2,P6,170.31658725587397
Loc(8),3,2,P7(1),100000.00000000001
Loc(8),3,2,P7(2),inf
Loc(8),3,2,P7_method,mc-saturated
