member,ell,src,EV,Var,D1,D2,exceed,cls
"Block(4,0.1)",16,est,13.28917,4.73233,1.700e-02,1.451e-04,1,2nd
"Block(16,0.02)",1,est,25.00018,57.75891,1.724e-01,4.587e-03,1,2nd
"Block(16,0.02)",2,est,14.93559,33.55397,1.507e-01,1.075e-02,1,2nd
"Block(16,0.02)",4,est,8.23786,12.87078,1.280e-01,1.371e-02,1,2nd
"Block(16,0.02)",8,est,4.33814,3.98139,9.735e-02,1.009e-02,1,2nd
"Block(16,0.02)",16,est,2.22769,1.10702,4.777e-02,1.337e-03,1,2nd
"Block(16,0.1)",1,est,41.63092,38.53047,1.959e-01,6.179e-04,1,2nd
"Block(16,0.1)",2,est,30.37532,37.64565,1.834e-01,7.851e-04,1,2nd
"Block(16,0.1)",4,est,19.60982,22.95878,1.635e-01,1.844e-04,1,2nd
"Block(16,0.1)",8,est,11.43346,9.587,1.429e-01,7.215e-04,1,2nd
"Block(16,0.1)",16,est,6.22376,3.1478,1.237e-01,1.212e-03,1,2nd
"Block(64,0.02)",1,est,8.35648,13.90117,1.238e-01,1.444e-02,1,2nd
"Block(64,0.02)",2,est,4.40989,4.34976,9.260e-02,1.072e-02,1,2nd
"Block(64,0.02)",4,est,2.26728,1.21759,4.332e-02,1.308e-03,1,2nd
"Block(64,0.02)",8,est,2.23482,1.16348,4.379e-02,1.175e-03,1,2nd
"Block(64,0.02)",16,est,2.17154,1.06158,4.478e-02,9.642e-04,1,2nd
"Block(64,0.1)",1,est,21.48235,30.50366,1.761e-01,1.228e-04,1,2nd
"Block(64,0.1)",2,est,12.8178,14.11018,1.638e-01,1.500e-03,1,2nd
"Block(64,0.1)",4,est,7.09025,4.98595,1.456e-01,2.565e-03,1,2nd
"Block(64,0.1)",8,est,6.70797,4.25526,1.452e-01,2.176e-03,1,2nd
"Block(64,0.1)",16,est,6.02177,3.09805,1.244e-01,1.388e-03,1,2nd
ShiftMix(0.05),1,est,40.67821,136.16831,1.758e-01,1.098e-03,1,2nd
ShiftMix(0.05),2,est,38.10196,121.09876,1.602e-01,8.632e-04,1,2nd
ShiftMix(0.05),4,est,33.44763,90.93209,9.747e-02,1.267e-03,1,2nd
ShiftMix(0.05),8,est,25.878,41.01955,9.076e-03,1.230e-02,0,
ShiftMix(0.05),16,est,15.99983,0.00024,2.414e-07,2.621e-07,0,
ShiftMix(0.2),1,est,57.08146,26.02604,1.991e-01,2.137e-04,1,2nd
ShiftMix(0.2),2,est,51.33165,30.80656,1.619e-01,2.257e-04,1,2nd
ShiftMix(0.2),4,est,41.82976,25.43605,7.949e-02,2.432e-04,1,2nd
ShiftMix(0.2),8,est,28.77423,7.80207,5.716e-03,1.023e-04,0,
ShiftMix(0.2),16,est,15.96012,0.05831,6.923e-05,5.553e-05,0,
